name,website_url,catalog_url,candidate_factors,catalog_description,status
ALOS World 3D-30m,https://planetarycomputer.microsoft.com/dataset/alos-dem,https://geospatialcatalog.com/alos-dem-30m,terrain_dem,"The ALOS-DEM dataset offers a global 30-meter resolution digital elevation model, crucial for detailed terrain analysis and modeling. Hosted on the Microsoft Planetary Computer, it facilitates access to this extensive topographic data for researchers and developers. This resource supports various environmental and geographical studies.",discovery_metadata_only
AVIRIS,https://aviris.jpl.nasa.gov/,https://geospatialcatalog.com/aviris,satellite_imagery,"The Airborne Visible Infrared Imaging Spectrometer (AVIRIS) is a NASA JPL instrument designed to collect hyperspectral imagery of Earth's surface. It plays a crucial role in various scientific research missions, monitoring environmental impacts, natural hazards, and ecological changes across diverse landscapes. The project offers access to collected data, flight planning information, and research publications.",discovery_metadata_only
Awesome-DEM,https://github.com/DahnJ/Awesome-DEM,https://geospatialcatalog.com/awesome-dem,terrain_dem,"This GitHub repository provides a comprehensive overview of Digital Elevation Model (DEM) datasets. It categorizes various global and local DEMs, including open and proprietary options, and distinguishes between DEM, DSM, and DTM concepts. The resource also lists relevant papers, portals, and discussions for further exploration of elevation data.",discovery_metadata_only
beaconDB,https://beacondb.net/,https://geospatialcatalog.com/beacondb,tower_locations,"This platform offers a public domain database for wireless geolocation, aggregating data from Wi-Fi networks, cell towers, and beacons across numerous countries. It emphasizes ethical data sourcing through opt-in collection, protects privacy by obfuscating published information, and ensures data integrity with abuse-resistant update mechanisms. The database supports integration via an API and various client applications.",discovery_metadata_only
Bhuvan NRSC Open EO Data Archive,https://bhuvan-app3.nrsc.gov.in/data/download/index.php,https://geospatialcatalog.com/bhuvan-nrsc-open-eo-data-archive,terrain_dem|satellite_imagery,"Bhuvan is a comprehensive geospatial portal from the National Remote Sensing Centre (NRSC), offering open access to Earth Observation data. It provides a wide array of free GIS data products such as orthoimagery, Digital Elevation Models (DEM), and satellite imagery from various Indian sensors like AWiFS, LISSIII, and HySI. Users can download these datasets for diverse applications and explore web mapping tools within the platform.",discovery_metadata_only
CanElevation,https://registry.opendata.aws/canelevation-dem/,https://geospatialcatalog.com/canelevation,terrain_dem,"CanElevation offers comprehensive Digital Elevation Models for Canada, encompassing Digital Terrain Models (DTM), Digital Surface Models (DSM), and other derived products. The dataset features resolutions of 1m, 2m, and 30m, integrating data from airborne LiDAR, optical digital images, and Copernicus DEM from the TanDEM-X Mission to ensure complete national coverage.",discovery_metadata_only
CLMS portfolio,https://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1.1?tab=mapview,https://geospatialcatalog.com/clms-portfolio,terrain_dem,"The Copernicus Land Monitoring Service (CLMS) offers a comprehensive portfolio of satellite-derived products for land monitoring across Europe. This includes full-coverage land cover and use data, land cover in priority areas, and bio-geophysical variables, supporting environmental policies and sustainable resource management. The service provides access to a dataset catalogue and a data viewer for exploring available products like EU-DEM.",discovery_metadata_only
Coastal Elevation Models,http://www.ngdc.noaa.gov/mgg/coastal/coastal.html,https://geospatialcatalog.com/coastal-elevation-models,terrain_dem,"This NOAA National Centers for Environmental Information (NCEI) resource offers coastal digital elevation models (DEMs). These DEMs are crucial for researchers and decision-makers to understand and predict environmental changes affecting coastal regions, supporting various critical monitoring activities.",discovery_metadata_only
Copernicus Browser,https://browser.dataspace.copernicus.eu/,https://geospatialcatalog.com/copernicus-browser,satellite_imagery,"The Copernicus Browser offers a comprehensive platform for exploring and acquiring high-resolution images from the entire suite of Copernicus missions. Users can easily navigate to areas of interest, specify time ranges and data collections, and visualize the resulting data directly within the browser. It supports various visualisations, high-resolution image downloads, timelapse creation, and raw data access for local processing.",discovery_metadata_only
Copernicus Browser,https://github.com/eu-cdse/copernicus-browser,https://geospatialcatalog.com/copernicus-browser-2,satellite_imagery,"Copernicus Browser is a powerful open-source web application designed for searching, visualizing, and analyzing satellite imagery from Sentinel-1, 2, 3, and 5P missions. It enables users to explore vast Earth Observation datasets, tweak rendering parameters, and download raw data or create custom visualizations. The platform is an integral part of the Copernicus Data Space Ecosystem, providing free access to advanced geospatial features for end-users.",discovery_metadata_only
