source_id,used,name,url,version,license,model_columns,grain,coverage,quality_note
sunway-cellular-2025,True,An Urban Multi-Operator QoE-Aware Dataset,https://data.mendeley.com/datasets/dx5xyyfz2y/1,1 (2025-06-16),CC BY 4.0,tower_id|lon|lat|radio,measurement; derived operator-site,"2 km² around Sunway University, Selangor; 2024-12 to 2025-04",132 anonymous operator-node combinations; node positions are centroid-estimated and source-validated with OpenCellID/field inspection.
cop-dem-glo-30,True,Copernicus DEM GLO-30 Public (2021),https://registry.opendata.aws/copernicus-dem/,2021,Copernicus DEM licence (free basis),slope_deg|tri,30 m raster,Sunway AOI window,DSM includes vegetation/buildings; terrain derivatives use a 3x3 neighborhood.
glo-30-hand,True,Global 30m Height Above Nearest Drainage,https://registry.opendata.aws/glo-30-hand/,v1 / Copernicus 2021,CC0 1.0,hand_m,30 m raster sample,every unique Sunway site coordinate,Provider ImageServer samples retained verbatim.
osm-live,True,OpenStreetMap infrastructure via Overpass,https://www.openstreetmap.org/copyright,live extract; timestamp in quality_report.json,ODbL 1.0; © OpenStreetMap contributors,dist_water_m|dist_power_m,OSM node/way/relation geometry,site envelope plus ~5.5 km,Community completeness varies; raw response timestamp is retained.
worldpop-r2025a,True,WorldPop Malaysia 2025 constrained population,https://hub.worldpop.org/geodata/summary?id=74271,R2025A v1,CC BY 4.0; cite DOI 10.5258/SOTON/WP00839,exposed_pop,2025 population summed in a 1 km square around each site,every unique Sunway site coordinate,"100 m alpha population estimates; value is exposure context, not a tower attribute."
nasa-lis-vhrfc,False,NASA LIS 0.1° Very High Resolution Full Climatology,https://ghrc.nsstc.nasa.gov/pub/lis/climatology/LIS/VHRFC/,V1,US Government work / NASA open data; Earthdata login required,flash_density,0.1° climatology cell,global tropics,Not used: one cell cannot distinguish this ~2 km AOI and download requires user authentication.
opencellid-mcc502,False,OpenCellID Malaysia MCC 502 export,https://opencellid.org/downloads,daily / trailing 18 months,CC BY-SA 4.0,tower_id|lon|lat|radio,radio cell,Malaysia,"Preferred ASEAN-scale source, but a registered API token is required; Sunway CC BY data is used for this pilot."
jrc-gsw-1-4,False,JRC Global Surface Water v1.4,https://global-surface-water.appspot.com/,1984-2021,"Copernicus, free with attribution",dist_water_m,30 m raster,global,Recommended sensitivity layer; OSM vector distance is used in the present build.
overture-buildings,False,Overture Maps buildings,https://docs.overturemaps.org/guides/buildings/,monthly release,per-theme/upstream attribution terms,exposure cross-check,building footprint,global,Recommended exposure QA against WorldPop; not a population substitute.
ghsl-age-r2025a,False,GHSL GHS-AGE R2025A,https://data.europa.eu/doi/10.2905/JRC.YCNTMNG,R2025A,CC BY 4.0,none,100 m dominant built-stock age,global,Rejected as tower age: surrounding building-stock age is not equipment installation age.
sunway-signal-panel-2026,True,Derived signal panel (per-session-per-node) + geometry residual,https://data.mendeley.com/datasets/dx5xyyfz2y/1,derived 2026-08-31 by src/backend/data/prepare_signal_panel.py,CC BY 4.0 (inherits sunway-cellular-2025),median_level_dbm|link_distance_m|physical_site_group|residual_db,"one row per (node, drive session)",Sunway AOI; 2024-12-03 to 2025-04-02,"315 rows from 48 nodes and 22 sessions, after dropping nodes with <20 measurements (threshold set on median standard error ~3.1 dB, not tuned). link_distance_m derives from centroid-estimated node positions, so it is a control measured with error and under-controls path loss. Environment adds no held-out explanatory power over geometry here (incremental R2 -0.06 at n>=20, +0.02 at n>=30 — sign flips with threshold, i.e. noise). Per-node dB/month trend is exploratory only, n=36."
