Appendix ID,Category,Dataset,Provider,Purpose,Data status,Scope or resolution,Source reference,Limitations
A1-01,Core geospatial datasets,OpenStreetMap,OSM contributors,"Tower locations, water and power infrastructure, and road networks",Crowdsourced geospatial data,"1164 mapped communication towers in the national prototype; vector infrastructure and road data",OpenStreetMap via Overpass; ODbL 1.0,Not an operator asset register or a complete inventory of Malaysian towers
A1-02,Core geospatial datasets,Copernicus DEM GLO-30,Copernicus,"Elevation, slope, and terrain ruggedness",Published elevation data,30 m raster,Copernicus DEM GLO-30 Public via Microsoft Planetary Computer,Surface elevation includes vegetation and buildings
A1-03,Core geospatial datasets,Global 30 m HAND,Alaska Satellite Facility,Height above nearest drainage for flood-exposure assessment,Derived geospatial data,30 m raster,Global 30m Height Above Nearest Drainage v1,Relative drainage height does not establish actual flood depth or timing
A1-04,Core geospatial datasets,Sentinel-2 Surface Reflectance Harmonized,Copernicus,Vegetation condition and changes over time,Satellite observations and derived EVI,10 m vegetation features,COPERNICUS/S2_SR_HARMONIZED,EVI measures greenness rather than canopy height or clearance from a tower
A1-05,Core geospatial datasets,WorldCover 2021 v200,ESA,Land-cover classification,Satellite-derived land-cover data,10 m raster; 2021 epoch,ESA/WorldCover/v200,A single epoch does not establish subsequent land-cover change
A1-06,Core geospatial datasets,SMAP L4 v008,NASA,Regional soil-moisture conditions,Satellite-assimilated modelled data,9 km raster,NASA/SMAP/SPL4SMGP/008,Regional wetness is not a site-specific measurement of ground stability
A1-07,Core geospatial datasets,Soil Clay Content v02,OpenLandMap,Soil composition,Modelled soil-property data,250 m raster; surface layer,OpenLandMap/SOL/SOL_CLAY-WFRACTION_USDA-3A1A1A_M/v02 band b0,Modelled soil properties do not replace a site investigation
A1-08,Core geospatial datasets,"Administrative Boundaries, ADM1",geoBoundaries,State boundaries and crew territory assignment,Published boundary data,Administrative polygons,geoBoundaries gbOpen ADM1; CC BY 4.0,Administrative boundaries do not establish crew availability or site accessibility
A2-01,Disaster monitoring and validation datasets,Sentinel-1 GRD,Copernicus,Radar-based surface-water and flood screening,Satellite observations,Available scenes for the selected observation period,COPERNICUS/S1_GRD,Optional mapping input; screened water does not establish tower damage
A2-02,Disaster monitoring and validation datasets,Landsat 8/9 Collection 2 Level 2,USGS / NASA,Optical imagery for flood screening,Satellite observations,Available scenes for the selected observation period,LANDSAT/LC08/C02/T1_L2 and LANDSAT/LC09/C02/T1_L2,Cloud and observation gaps limit usable imagery
A2-03,Disaster monitoring and validation datasets,Global Surface Water,JRC,Historical water observations for flood-factor evaluation and permanent-water masking,Satellite-derived water observations,30 m raster; v1.3 evaluation and v1.4 mapping,JRC/GSW1_3/GlobalSurfaceWater and JRC/GSW1_4/GlobalSurfaceWater,Non-permanent water can include managed water such as paddy fields and ponds
A2-04,Disaster monitoring and validation datasets,"Johor Flood Extent, December 2019 - FL20191217MYS",UNITAR-UNOSAT,Independent event validation,Observed flood extent with project-derived sample labels,12000 derived sample points; Sentinel-1 observation on 15 December 2019,UNOSAT FL20191217MYS; CC BY 3.0 IGO,One event and date in Johor; labels describe water extent rather than outages
A2-05,Disaster monitoring and validation datasets,GSMaP v8,JAXA,Rainfall observations,Satellite-derived rainfall estimates,Hourly source data aggregated over a trailing 24-hour window,JAXA/GPM_L3/GSMaP/v8/operational,Optional mapping input; rainfall does not directly measure inundation
A2-06,Disaster monitoring and validation datasets,Global Forecast System,NOAA,Rainfall forecasts supporting weather-aware urgency,Forecast data,0.25-degree source grid; next 24 hours,NOAA/GFS0P25,Forecast rainfall does not establish site-level flood depth
A2-07,Disaster monitoring and validation datasets,GloFAS,Copernicus Emergency Management Service,River-flood outlook and potential inundation maps,Forecast data,Days 1-3 river outlook and up to 30-day rapid flood mapping,CEMS GloFAS WMS; sumAL41EGE and RapidFloodMapping,Optional map context; river forecasts do not establish tower-level maintenance need
A2-08,Disaster monitoring and validation datasets,NOAA-20 VIIRS Active Fire,NASA LANCE,Fire-hotspot screening,Satellite observations,375 m thermal-anomaly product,NASA/LANCE/NOAA20_VIIRS/C2,A hotspot does not establish a fire perimeter or tower damage
A3-01,"Pilot, simulation, and supporting datasets",Urban Multi-Operator QoE-Aware Dataset,Mendeley Data,Initial Sunway tower-risk and signal-performance pilot,Real cellular measurements with derived operator-site records,30925 measurements yielding 132 operator-site records around Sunway University,DOI 10.17632/dx5xyyfz2y.1; CC BY 4.0,Operator-site records are not distinct physical towers; positions are source-estimated centroids
A3-02,"Pilot, simulation, and supporting datasets","Malaysia Population 2025, R2025A",WorldPop,Population-exposure estimates for the Sunway pilot,Modelled population estimates,100 m population grid aggregated over a 1 km square around each pilot site,DOI 10.5258/SOTON/WP00839; R2025A v1,Nearby population is not a measured subscriber count; national exposure is unpopulated
A3-03,"Pilot, simulation, and supporting datasets",Maintenance Records and Labels,Project-generated,Prototype model training and evaluation,Synthetic,36 months for 1164 towers; 1 August 2023 to 1 August 2026,Project maintenance-record generator v2.3,No operator or MCMC maintenance history was available; results do not establish real-world prediction accuracy
A3-04,"Pilot, simulation, and supporting datasets",Site Telemetry,Project-generated,Current-condition scoring,Synthetic,"30-day rectifier alarms, battery-sag events, and door-open duration",Project maintenance-record generator v2.3 telemetry output,Simulated counters are not live operator telemetry; their time window differs from the maintenance labels
A3-05,"Pilot, simulation, and supporting datasets",Crew Rosters and Scheduling Parameters,Project configuration,Scheduler and dispatch demonstrations,Assumed,"Crew availability, skills, shifts, resource constraints, and depot assignments",Project demonstration configuration,Parameters are demonstration assumptions rather than verified operator staffing records
A3-06,"Pilot, simulation, and supporting datasets",ASEAN ICT Indicators,ITU DataHub,Country-level background context,Published statistical data,39536 observation rows covering 11 selected economies; available history through 2025,ITU DataHub data and indicator catalogue,Country-level context is not used as tower-level model features; missing observations are retained
